SRS QCM200 Data File
Data Taken on 04.05.2022 at 13:30:43
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+04.997999500E+6	+08.736000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+03.880000E-1	5
+04.997998000E+6	+08.739000E+0	-01.500000E+0	+03.000000E-3	+02.650177E-2	+02.185500E+1	0
+04.997997600E+6	+08.740000E+0	-01.900000E+0	+04.000000E-3	+03.356890E-2	+02.292500E+1	0
+04.997997300E+6	+08.740000E+0	-02.200000E+0	+04.000000E-3	+03.886926E-2	+02.400600E+1	0
+04.997997300E+6	+08.740000E+0	-02.200000E+0	+04.000000E-3	+03.886926E-2	+02.508800E+1	0
+04.997997100E+6	+08.739000E+0	-02.400000E+0	+03.000000E-3	+04.240283E-2	+02.616000E+1	0
+04.997996900E+6	+08.739000E+0	-02.600000E+0	+03.000000E-3	+04.593640E-2	+02.724800E+1	0
+04.997996900E+6	+08.741000E+0	-02.600000E+0	+05.000000E-3	+04.593640E-2	+02.832200E+1	0
+04.997997300E+6	+08.741000E+0	-02.200000E+0	+05.000000E-3	+03.886926E-2	+02.938700E+1	0
+04.997997800E+6	+08.741000E+0	-01.700000E+0	+05.000000E-3	+03.003534E-2	+03.047000E+1	0
+04.997998400E+6	+08.741000E+0	-01.100000E+0	+05.000000E-3	+01.943463E-2	+03.153800E+1	0
+04.997998800E+6	+08.741000E+0	-07.000000E-1	+05.000000E-3	+01.236749E-2	+03.262400E+1	0
+04.997999100E+6	+08.741000E+0	-04.000000E-1	+05.000000E-3	+07.067138E-3	+03.369200E+1	0
+04.997999100E+6	+08.742000E+0	-04.000000E-1	+06.000000E-3	+07.067138E-3	+03.477100E+1	0
+04.997998300E+6	+08.741000E+0	-01.200000E+0	+05.000000E-3	+02.120141E-2	+03.584000E+1	0
+04.997998500E+6	+08.741000E+0	-01.000000E+0	+05.000000E-3	+01.766784E-2	+03.692100E+1	0
+04.997998100E+6	+08.741000E+0	-01.400000E+0	+05.000000E-3	+02.473498E-2	+03.798500E+1	0
+04.997998300E+6	+08.743000E+0	-01.200000E+0	+07.000000E-3	+02.120141E-2	+03.906200E+1	0
+04.997998900E+6	+08.742000E+0	-06.000000E-1	+06.000000E-3	+01.060071E-2	+04.013600E+1	0
+04.997999000E+6	+08.742000E+0	-05.000000E-1	+06.000000E-3	+08.833922E-3	+04.121700E+1	0
+04.997999300E+6	+08.742000E+0	-02.000000E-1	+06.000000E-3	+03.533569E-3	+04.228900E+1	0
+04.997999800E+6	+08.743000E+0	+03.000000E-1	+07.000000E-3	-05.300353E-3	+04.336600E+1	0
+04.997999800E+6	+08.735000E+0	+03.000000E-1	-01.000000E-3	-05.300353E-3	+04.444000E+1	0
+04.998000000E+6	+08.730000E+0	+05.000000E-1	-06.000000E-3	-08.833922E-3	+04.552200E+1	0
+04.998001100E+6	+08.731000E+0	+01.600000E+0	-05.000000E-3	-02.826855E-2	+04.659700E+1	0
+04.998002100E+6	+08.732000E+0	+02.600000E+0	-04.000000E-3	-04.593640E-2	+04.766900E+1	0
+04.998001400E+6	+01.150900E+1	+01.900000E+0	+02.773000E+0	-03.356890E-2	+04.873600E+1	0
+04.997531300E+6	+03.266300E+2	-04.682000E+2	+03.178940E+2	+08.272085E+0	+04.981400E+1	0
+04.997397100E+6	+03.310200E+2	-06.024000E+2	+03.222840E+2	+01.064311E+1	+05.087800E+1	0
+04.997404000E+6	+03.315300E+2	-05.955000E+2	+03.227940E+2	+01.052120E+1	+05.195200E+1	0
+04.997398600E+6	+03.328200E+2	-06.009000E+2	+03.240840E+2	+01.061661E+1	+05.303500E+1	0
+04.997394300E+6	+03.331300E+2	-06.052000E+2	+03.243940E+2	+01.069258E+1	+05.410700E+1	0
+04.997395000E+6	+03.330400E+2	-06.045000E+2	+03.243040E+2	+01.068021E+1	+05.518200E+1	0
+04.997393800E+6	+03.330700E+2	-06.057000E+2	+03.243340E+2	+01.070141E+1	+05.626300E+1	0
+04.997391300E+6	+03.331400E+2	-06.082000E+2	+03.244040E+2	+01.074558E+1	+05.733300E+1	0
+04.997387900E+6	+03.332700E+2	-06.116000E+2	+03.245340E+2	+01.080565E+1	+05.840800E+1	0
+04.997384100E+6	+03.334800E+2	-06.154000E+2	+03.247440E+2	+01.087279E+1	+05.947300E+1	0
+04.997375900E+6	+03.337400E+2	-06.236000E+2	+03.250040E+2	+01.101767E+1	+06.055000E+1	0
+04.997371700E+6	+03.341500E+2	-06.278000E+2	+03.254140E+2	+01.109187E+1	+06.162500E+1	0
+04.997367000E+6	+03.327100E+2	-06.325000E+2	+03.239740E+2	+01.117491E+1	+06.270400E+1	0
+04.997362900E+6	+03.304400E+2	-06.366000E+2	+03.217040E+2	+01.124735E+1	+06.377600E+1	0
+04.997359000E+6	+03.306100E+2	-06.405000E+2	+03.218740E+2	+01.131625E+1	+06.484000E+1	0
+04.997355300E+6	+03.307400E+2	-06.442000E+2	+03.220040E+2	+01.138163E+1	+06.592500E+1	0
+04.997351600E+6	+03.307300E+2	-06.479000E+2	+03.219940E+2	+01.144700E+1	+06.699900E+1	0
+04.997348800E+6	+03.307600E+2	-06.507000E+2	+03.220240E+2	+01.149647E+1	+06.807100E+1	0
+04.997346300E+6	+03.308000E+2	-06.532000E+2	+03.220640E+2	+01.154064E+1	+06.914500E+1	0
