SRS QCM200 Data File
Data Taken on 04.05.2022 at 11:37:45
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+04.997961000E+6	+08.060000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+02.700000E-1	5
+04.997961000E+6	+08.059000E+0	+00.000000E+0	-01.000000E-3	+00.000000E+0	+05.177700E+1	0
+04.997961000E+6	+08.059000E+0	+00.000000E+0	-01.000000E-3	+00.000000E+0	+05.285800E+1	0
+04.997961000E+6	+08.060000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+05.393700E+1	0
+04.997961100E+6	+08.060000E+0	+01.000000E-1	+00.000000E+0	-01.766784E-3	+05.501300E+1	0
+04.997961100E+6	+08.060000E+0	+01.000000E-1	+00.000000E+0	-01.766784E-3	+05.607800E+1	0
+04.997961000E+6	+08.059000E+0	+00.000000E+0	-01.000000E-3	+00.000000E+0	+05.715400E+1	0
+04.997961100E+6	+08.061000E+0	+01.000000E-1	+01.000000E-3	-01.766784E-3	+05.822900E+1	0
+04.997961000E+6	+08.060000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+05.930400E+1	0
+04.997961100E+6	+08.060000E+0	+01.000000E-1	+00.000000E+0	-01.766784E-3	+06.037900E+1	0
+04.997961000E+6	+08.059000E+0	+00.000000E+0	-01.000000E-3	+00.000000E+0	+06.145700E+1	0
+04.997961100E+6	+08.059000E+0	+01.000000E-1	-01.000000E-3	-01.766784E-3	+06.253200E+1	0
+04.997961100E+6	+08.059000E+0	+01.000000E-1	-01.000000E-3	-01.766784E-3	+06.361100E+1	0
+04.997961000E+6	+08.059000E+0	+00.000000E+0	-01.000000E-3	+00.000000E+0	+06.469500E+1	0
+04.997961000E+6	+08.060000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+06.575800E+1	0
+04.997961000E+6	+08.060000E+0	+00.000000E+0	+00.000000E+0	+00.000000E+0	+06.683300E+1	0
+04.997961000E+6	+08.061000E+0	+00.000000E+0	+01.000000E-3	+00.000000E+0	+06.790100E+1	0
+04.997961100E+6	+08.061000E+0	+01.000000E-1	+01.000000E-3	-01.766784E-3	+06.898200E+1	0
+04.997961000E+6	+08.061000E+0	+00.000000E+0	+01.000000E-3	+00.000000E+0	+07.005700E+1	0
+04.997961100E+6	+08.060000E+0	+01.000000E-1	+00.000000E+0	-01.766784E-3	+07.112300E+1	0
