SRS QCM200 Data File
Data Taken on 04.05.2022 at 13:37:03
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+04.997256600E+6	+03.337900E+2	+00.000000E+0	+00.000000E+0	+00.000000E+0	+03.110000E-1	5
+04.997256000E+6	+03.337400E+2	-06.000000E-1	-05.000000E-2	+01.060071E-2	+01.103000E+1	0
+04.997256000E+6	+03.337600E+2	-06.000000E-1	-03.000000E-2	+01.060071E-2	+01.210200E+1	0
+04.997256000E+6	+03.337800E+2	-06.000000E-1	-01.000000E-2	+01.060071E-2	+01.317900E+1	0
+04.997256000E+6	+03.337900E+2	-06.000000E-1	+00.000000E+0	+01.060071E-2	+01.426100E+1	0
+04.997256000E+6	+03.338000E+2	-06.000000E-1	+01.000000E-2	+01.060071E-2	+01.533800E+1	0
+04.997256000E+6	+03.337800E+2	-06.000000E-1	-01.000000E-2	+01.060071E-2	+01.641400E+1	0
+04.997256100E+6	+03.337600E+2	-05.000000E-1	-03.000000E-2	+08.833922E-3	+01.748000E+1	0
+04.997256000E+6	+03.337700E+2	-06.000000E-1	-02.000000E-2	+01.060071E-2	+01.856100E+1	0
+04.997256000E+6	+03.338000E+2	-06.000000E-1	+01.000000E-2	+01.060071E-2	+01.962600E+1	0
+04.997256000E+6	+03.338100E+2	-06.000000E-1	+02.000000E-2	+01.060071E-2	+02.069800E+1	0
+04.997256000E+6	+03.338100E+2	-06.000000E-1	+02.000000E-2	+01.060071E-2	+02.179000E+1	0
+04.997256000E+6	+03.338300E+2	-06.000000E-1	+04.000000E-2	+01.060071E-2	+02.286400E+1	0
+04.997256000E+6	+03.338300E+2	-06.000000E-1	+04.000000E-2	+01.060071E-2	+02.393900E+1	0
+04.997256100E+6	+03.338500E+2	-05.000000E-1	+06.000000E-2	+08.833922E-3	+02.500400E+1	0
+04.997256100E+6	+03.338700E+2	-05.000000E-1	+08.000000E-2	+08.833922E-3	+02.607700E+1	0
+04.997256100E+6	+03.338900E+2	-05.000000E-1	+01.000000E-1	+08.833922E-3	+02.715200E+1	0
+04.997256100E+6	+03.339000E+2	-05.000000E-1	+01.100000E-1	+08.833922E-3	+02.823500E+1	0
+04.997256100E+6	+03.338800E+2	-05.000000E-1	+09.000000E-2	+08.833922E-3	+02.931100E+1	0
+04.997256100E+6	+03.338700E+2	-05.000000E-1	+08.000000E-2	+08.833922E-3	+03.038200E+1	0
+04.997256100E+6	+03.338700E+2	-05.000000E-1	+08.000000E-2	+08.833922E-3	+03.145800E+1	0
+04.997256200E+6	+03.338700E+2	-04.000000E-1	+08.000000E-2	+07.067138E-3	+03.253300E+1	0
+04.997256100E+6	+03.338800E+2	-05.000000E-1	+09.000000E-2	+08.833922E-3	+03.360800E+1	0
+04.997256100E+6	+03.339000E+2	-05.000000E-1	+01.100000E-1	+08.833922E-3	+03.467800E+1	0
+04.997256100E+6	+03.339100E+2	-05.000000E-1	+01.200000E-1	+08.833922E-3	+03.575700E+1	0
+04.997256200E+6	+03.339000E+2	-04.000000E-1	+01.100000E-1	+07.067138E-3	+03.682900E+1	0
+04.997256100E+6	+03.339000E+2	-05.000000E-1	+01.100000E-1	+08.833922E-3	+03.790200E+1	0
+04.997256200E+6	+03.339100E+2	-04.000000E-1	+01.200000E-1	+07.067138E-3	+03.897700E+1	0
+04.997256100E+6	+03.338900E+2	-05.000000E-1	+01.000000E-1	+08.833922E-3	+04.004000E+1	0
+04.997256300E+6	+03.339400E+2	-03.000000E-1	+01.500000E-1	+05.300353E-3	+04.111400E+1	0
+04.997256000E+6	+03.338900E+2	-06.000000E-1	+01.000000E-1	+01.060071E-2	+04.219900E+1	0
+04.997256300E+6	+03.339700E+2	-03.000000E-1	+01.800000E-1	+05.300353E-3	+04.327200E+1	0
+04.997256100E+6	+03.339200E+2	-05.000000E-1	+01.300000E-1	+08.833922E-3	+04.435800E+1	0
+04.997255900E+6	+03.338100E+2	-07.000000E-1	+02.000000E-2	+01.236749E-2	+04.543200E+1	0
+04.997256200E+6	+03.338700E+2	-04.000000E-1	+08.000000E-2	+07.067138E-3	+04.650200E+1	0
+04.997256300E+6	+03.339500E+2	-03.000000E-1	+01.600000E-1	+05.300353E-3	+04.757800E+1	0
+04.997256300E+6	+03.339600E+2	-03.000000E-1	+01.700000E-1	+05.300353E-3	+04.865700E+1	0
+04.997256200E+6	+03.339400E+2	-04.000000E-1	+01.500000E-1	+07.067138E-3	+04.973000E+1	0
+04.997256200E+6	+03.339500E+2	-04.000000E-1	+01.600000E-1	+07.067138E-3	+05.080400E+1	0
+04.997256300E+6	+03.339500E+2	-03.000000E-1	+01.600000E-1	+05.300353E-3	+05.188000E+1	0
