E,A
-.2000427,-6.008911E-07
-.1976013,-5.471802E-07
-.1951599,-5.004883E-07
-.1927185,-4.577637E-07
-.1902771,-4.376221E-07
-.1878357,-3.921509E-07
-.1853943,-3.936768E-07
-.1829529,-3.386536E-07
-.1805115,-3.40271E-07
-.1780701,-3.083191E-07
-.1756287,-2.96936E-07
-.1731873,-2.810669E-07
-.1707458,-2.544556E-07
-.1683044,-2.573853E-07
-.165863,-2.188721E-07
-.1634216,-2.324219E-07
-.1609802,-1.956787E-07
-.1585388,-1.992187E-07
-.1560974,-1.742249E-07
-.153656,-1.656799E-07
-.1512146,-1.583862E-07
-.1487732,-1.329651E-07
-.1463318,-1.484375E-07
-.1438904,-1.119385E-07
-.141449,-1.288757E-07
-.1390076,-9.713745E-08
-.1365662,-1.040039E-07
-.1341248,-8.334351E-08
-.1316833,-7.907104E-08
-.1292419,-7.775879E-08
-.1268005,-5.133057E-08
-.1243591,-7.25708E-08
-.1219177,-3.555298E-08
-.1194763,-5.57251E-08
-.1170349,-2.902222E-08
-.1145935,-3.164673E-08
-.1121521,-2.49939E-08
-.1097107,-1.263428E-08
-.1072693,-2.270508E-08
-.1048279,8.178711E-09
-.1023865,-6.182862E-08
-9.994507E-02,-2.719116E-08
-9.750366E-02,-4.257202E-08
-9.506226E-02,-2.713013E-08
-9.262085E-02,-2.664185E-08
-9.017944E-02,-2.722168E-08
-8.773804E-02,-8.178711E-09
-8.529663E-02,-2.679443E-08
-8.285522E-02,7.507325E-09
-8.041382E-02,-1.586914E-08
-7.797241E-02,1.165771E-08
-7.553101E-02,-1.922607E-09
-.0730896,9.70459E-09
-7.064819E-02,1.38855E-08
-6.820679E-02,9.216309E-09
-6.576538E-02,3.079224E-08
-6.332397E-02,5.554199E-09
-6.088257E-02,3.872681E-08
-5.844116E-02,1.538086E-08
-5.599976E-02,3.726196E-08
-5.355835E-02,3.405762E-08
-5.111694E-02,3.472901E-08
-4.867554E-02,4.675293E-08
-4.623413E-02,3.048706E-08
-4.379272E-02,6.036377E-08
-4.135132E-02,3.393555E-08
-3.890991E-02,5.886841E-08
-3.646851E-02,4.522705E-08
-.0340271,5.825806E-08
-3.158569E-02,5.819702E-08
-2.914429E-02,5.630493E-08
-2.670288E-02,6.936646E-08
-2.426147E-02,4.696655E-08
-2.182007E-02,7.946777E-08
-1.937866E-02,5.484009E-08
-1.693726E-02,7.8125E-08
-1.449585E-02,6.747437E-08
-1.205444E-02,7.894897E-08
