SRS QCM200 Data File
Data Taken on 04.05.2022 at 11:48:47
Tag Definitions
Zero Rel F        = 1
Zero Rel R        = 2
Zero Rel F and R  = 3
User Tag          = 4
Begining of File  = 5

Notes:


Frequency	Resistance	Delta F	Delta R	Delta Mass	Time (s)	Tag
+04.997272300E+6	+03.271800E+2	+00.000000E+0	+00.000000E+0	+00.000000E+0	+05.550000E-1	5
+04.997272300E+6	+03.273200E+2	+00.000000E+0	+01.400000E-1	+00.000000E+0	+01.236000E+1	0
+04.997272200E+6	+03.273100E+2	-01.000000E-1	+01.300000E-1	+01.766784E-3	+01.343300E+1	0
+04.997272100E+6	+03.273100E+2	-02.000000E-1	+01.300000E-1	+03.533569E-3	+01.450000E+1	0
+04.997272100E+6	+03.273000E+2	-02.000000E-1	+01.200000E-1	+03.533569E-3	+01.557700E+1	0
+04.997272000E+6	+03.273000E+2	-03.000000E-1	+01.200000E-1	+05.300353E-3	+01.664500E+1	0
+04.997272000E+6	+03.273000E+2	-03.000000E-1	+01.200000E-1	+05.300353E-3	+01.772900E+1	0
+04.997271900E+6	+03.272900E+2	-04.000000E-1	+01.100000E-1	+07.067138E-3	+01.880500E+1	0
+04.997271900E+6	+03.272900E+2	-04.000000E-1	+01.100000E-1	+07.067138E-3	+01.987100E+1	0
+04.997271900E+6	+03.272900E+2	-04.000000E-1	+01.100000E-1	+07.067138E-3	+02.094300E+1	0
+04.997271800E+6	+03.272900E+2	-05.000000E-1	+01.100000E-1	+08.833922E-3	+02.201700E+1	0
+04.997271800E+6	+03.272800E+2	-05.000000E-1	+01.000000E-1	+08.833922E-3	+02.309100E+1	0
+04.997271700E+6	+03.272800E+2	-06.000000E-1	+01.000000E-1	+01.060071E-2	+02.416400E+1	0
+04.997271800E+6	+03.272700E+2	-05.000000E-1	+09.000000E-2	+08.833922E-3	+02.525100E+1	0
+04.997271700E+6	+03.272700E+2	-06.000000E-1	+09.000000E-2	+01.060071E-2	+02.631900E+1	0
+04.997271600E+6	+03.272600E+2	-07.000000E-1	+08.000000E-2	+01.236749E-2	+02.739900E+1	0
+04.997271700E+6	+03.272700E+2	-06.000000E-1	+09.000000E-2	+01.060071E-2	+02.846900E+1	0
+04.997271700E+6	+03.272600E+2	-06.000000E-1	+08.000000E-2	+01.060071E-2	+02.954300E+1	0
+04.997271700E+6	+03.272600E+2	-06.000000E-1	+08.000000E-2	+01.060071E-2	+03.061600E+1	0
+04.997271700E+6	+03.272500E+2	-06.000000E-1	+07.000000E-2	+01.060071E-2	+03.168700E+1	0
+04.997271600E+6	+03.272600E+2	-07.000000E-1	+08.000000E-2	+01.236749E-2	+03.276100E+1	0
+04.997271700E+6	+03.272600E+2	-06.000000E-1	+08.000000E-2	+01.060071E-2	+03.383900E+1	0
+04.997271700E+6	+03.272700E+2	-06.000000E-1	+09.000000E-2	+01.060071E-2	+03.491600E+1	0
+04.997271600E+6	+03.272800E+2	-07.000000E-1	+01.000000E-1	+01.236749E-2	+03.598100E+1	0
+04.997271700E+6	+03.272900E+2	-06.000000E-1	+01.100000E-1	+01.060071E-2	+03.705600E+1	0
+04.997271700E+6	+03.273000E+2	-06.000000E-1	+01.200000E-1	+01.060071E-2	+03.813100E+1	0
+04.997271600E+6	+03.273000E+2	-07.000000E-1	+01.200000E-1	+01.236749E-2	+03.921100E+1	0
+04.997271600E+6	+03.273100E+2	-07.000000E-1	+01.300000E-1	+01.236749E-2	+04.028800E+1	0
+04.997271600E+6	+03.273100E+2	-07.000000E-1	+01.300000E-1	+01.236749E-2	+04.136000E+1	0
+04.997271800E+6	+03.273400E+2	-05.000000E-1	+01.600000E-1	+08.833922E-3	+04.242900E+1	0
+04.997271800E+6	+03.273500E+2	-05.000000E-1	+01.700000E-1	+08.833922E-3	+04.350900E+1	0
+04.997271800E+6	+03.273700E+2	-05.000000E-1	+01.900000E-1	+08.833922E-3	+04.457900E+1	0
+04.997271900E+6	+03.273800E+2	-04.000000E-1	+02.000000E-1	+07.067138E-3	+04.566300E+1	0
+04.997271900E+6	+03.273900E+2	-04.000000E-1	+02.100000E-1	+07.067138E-3	+04.672700E+1	0
+04.997271800E+6	+03.273800E+2	-05.000000E-1	+02.000000E-1	+08.833922E-3	+04.780300E+1	0
+04.997271900E+6	+03.273800E+2	-04.000000E-1	+02.000000E-1	+07.067138E-3	+04.887900E+1	0
